,year,title_status,drive,condition
2917,2009.0,0,0,2
2918,2015.0,0,0,2
2919,2016.0,0,0,2
2920,2011.0,0,0,2
2921,2012.0,0,0,2
2922,2013.0,0,0,2
2924,2012.0,0,0,2
2925,2014.0,0,0,2
2926,2008.0,0,0,2
2929,2014.0,0,0,2
2930,2015.0,0,0,2
2931,2013.0,0,0,2
2932,2012.0,0,1,0
2933,2013.0,0,0,0
2935,2015.0,0,0,2
2936,2016.0,0,0,2
2937,2012.0,0,0,0
2938,2016.0,0,0,2
2941,2015.0,0,0,2
2943,2019.0,0,1,0
2945,2019.0,0,1,0
2946,2014.0,0,0,0
2947,2009.0,0,0,0
2948,2009.0,0,0,0
2950,2016.0,0,0,0
2952,2014.0,0,1,0
2953,2016.0,0,1,0
2954,2016.0,0,0,0
2955,2016.0,0,0,0
2956,2015.0,0,0,0
2957,2016.0,0,0,0
2958,2015.0,0,0,0
2959,2018.0,0,1,0
2961,2019.0,0,0,0
2962,2018.0,0,1,0
2963,2010.0,0,1,0
2964,2017.0,0,2,0
2966,2015.0,0,1,0
2967,2019.0,0,0,0
2968,2009.0,0,0,0
2969,2017.0,0,0,0
2970,2014.0,0,2,0
2971,2019.0,0,0,0
2972,2016.0,0,0,0
2973,2016.0,0,0,0
2974,2016.0,0,0,0
2975,2013.0,0,0,0
2978,2016.0,0,0,0
2980,2016.0,0,0,0
2981,2018.0,0,1,0
2982,2016.0,0,0,0
2983,2018.0,0,1,0
2984,2019.0,0,1,0
2985,2013.0,0,1,0
2986,2013.0,0,0,0
2987,2019.0,0,1,0
2988,2016.0,0,0,0
2991,2015.0,0,0,0
2992,2016.0,0,0,0
2993,2017.0,0,0,0
2994,2014.0,0,0,0
2996,2014.0,0,0,0
2997,2012.0,0,1,0
2998,2016.0,0,0,0
3000,2014.0,0,2,0
3001,2013.0,0,1,0
3002,2014.0,0,0,0
3003,2016.0,0,1,0
3004,2008.0,0,1,2
3005,2011.0,0,0,0
3006,2007.0,0,0,0
3007,2006.0,0,0,0
3008,2010.0,0,0,0
3009,2017.0,0,1,0
3010,2016.0,0,0,0
3011,2016.0,0,0,0
3012,2016.0,0,1,0
3013,2019.0,0,0,0
3015,2016.0,0,1,0
3016,2012.0,0,0,0
3017,2017.0,0,0,0
3019,2009.0,0,0,0
3020,2006.0,0,1,3
3057,2014.0,0,1,0
3060,2005.0,0,0,1
3066,2011.0,0,0,2
3077,2006.0,0,1,2
3082,2005.0,0,0,2
3085,2014.0,0,1,0
3092,2014.0,0,0,2
3097,2006.0,0,0,2
3100,2014.0,0,0,2
3101,2008.0,0,1,2
3103,1987.0,2,0,2
3112,2008.0,0,0,0
3123,1999.0,0,1,2
3125,1999.0,0,1,2
3127,2003.0,0,0,2
3130,2013.0,0,0,2
3137,2004.0,0,1,2
3141,2008.0,0,0,2
3142,1959.0,0,2,2
3144,2013.0,0,1,2
3151,2019.0,0,0,0
3152,2017.0,0,0,3
3153,2013.0,0,1,0
3191,2016.0,0,0,0
3204,2016.0,0,0,0
3210,2016.0,0,0,2
3213,2012.0,0,0,0
3214,2018.0,0,2,0
3215,2019.0,0,1,0
3232,2015.0,0,0,0
3236,2017.0,0,0,3
3246,2016.0,0,0,0
3247,2016.0,0,0,0
3250,2010.0,0,0,2
3254,2013.0,0,1,2
3257,2016.0,0,0,3
3258,2017.0,0,0,3
3260,2016.0,0,0,0
3262,2016.0,0,0,3
3267,2009.0,0,0,0
3268,2017.0,0,0,0
3269,2012.0,0,0,0
3270,2016.0,0,1,0
3272,2019.0,0,0,0
3273,2016.0,0,1,0
3274,2016.0,0,0,0
3275,2016.0,0,0,0
3276,2017.0,0,1,0
3277,2008.0,0,0,0
3278,2010.0,0,0,0
3279,2006.0,0,0,0
3280,2007.0,0,0,0
3282,2011.0,0,0,0
3283,2016.0,0,1,0
3284,2014.0,0,0,0
3285,2013.0,0,1,0
3286,2014.0,0,2,0
3288,2016.0,0,0,0
3289,2014.0,0,0,2
3290,2012.0,0,1,0
3291,2014.0,0,0,0
3293,2014.0,0,0,0
3295,2017.0,0,0,0
3296,2016.0,0,0,0
3297,2015.0,0,0,0
3300,2016.0,0,0,0
3301,2019.0,0,1,0
3302,2019.0,0,1,0
3303,2013.0,0,0,0
3304,2013.0,0,0,0
3305,2013.0,0,1,0
3306,2019.0,0,1,0
3307,2018.0,0,1,0
3309,2016.0,0,0,0
3310,2018.0,0,1,0
3311,2016.0,0,0,0
3313,2016.0,0,0,0
3315,2013.0,0,0,0
3316,2016.0,0,0,0
3317,2016.0,0,0,0
3318,2016.0,0,0,0
3319,2019.0,0,0,0
3320,2014.0,0,2,0
3321,2017.0,0,0,0
3322,2009.0,0,0,0
3323,2019.0,0,0,0
3325,2005.0,0,0,2
3326,2015.0,0,1,0
3330,2013.0,0,0,2
3331,2014.0,0,0,2
3332,2017.0,0,2,0
3334,2018.0,0,1,0
3335,2019.0,0,0,0
3336,2018.0,0,1,0
3338,2015.0,0,0,0
3339,2016.0,0,0,0
3340,2015.0,0,0,0
3341,2016.0,0,0,0
3342,2016.0,0,0,0
3343,2016.0,0,1,0
3344,2014.0,0,1,0
3346,2016.0,0,0,0
3348,2019.0,0,1,0
3349,2014.0,0,0,0
3350,2009.0,0,0,0
3351,2011.0,0,0,2
3354,2013.0,0,1,2
3355,2009.0,0,0,2
3356,2012.0,0,0,0
3357,2013.0,0,0,0
3358,2016.0,0,1,2
3359,2011.0,0,0,2
3360,2010.0,0,0,2
3361,2012.0,0,0,2
3362,2011.0,0,1,2
3365,2011.0,0,0,2
3366,2008.0,0,1,2
3367,2006.0,0,0,2
3369,2010.0,0,0,2
3370,2007.0,0,0,2
